date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:29	570766/570766	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20May%202026%2012:19:22%20GMT	https://cvdelucasfernandes.sitew.org/	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/index.html	(from )
14:19:30	87/87	---MCZ	200	added ('OK')	text/html	etag:W/%22ce72438a60d9d33f47310c1df0d5e05b%22	https://cvdelucasfernandes.sitew.org/robots.txt		(from )
14:19:30	274828/274828	---M-Z	200	added ('OK')	text/css	etag:%226a0d5d66-7ea9%22	https://st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/precompile/viewer2_all_sections-70466db6660b055a617714c30ee9776f.css	(from https://cvdelucasfernandes.sitew.org/)
14:19:30	811513/811513	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20May%202026%2007:06:14%20GMT	https://st0.cdnsw.com/assets/precompile/fr-viewer_all_sections-a49853aec4d72ea488ae98c0b12a8b22.js	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/st0.cdnsw.com/assets/precompile/fr-viewer_all_sections-a49853aec4d72ea488ae98c0b12a8b22.js	(from https://cvdelucasfernandes.sitew.org/)
14:19:30	1048/1048	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2260a3ca5a-418%22	https://cvdelucasfernandes.sitew.org/favicon.ico?ts=0	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/favicone6f4.ico	(from https://cvdelucasfernandes.sitew.org/)
14:19:31	172/172	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:24%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=fb&v=1735581474	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/indexf968.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:31	172/172	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:24%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=fb	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/index9eaa.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:31	192/192	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:24%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=apple_touch_icon_57x57	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/indexc6ad.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:31	192/192	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:24%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=apple_touch_icon_72x72	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/indexa8eb.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:32	352831/352831	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20May%202026%2012:19:24%20GMT	https://cvdelucasfernandes.sitew.org/A-propos	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/A-propos.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:32	194/194	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:25%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=apple_touch_icon_114x114	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/index574f.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:32	194/194	---MC-	302	error ('Found')	text/html	date:Thu,%2021%20May%202026%2012:19:25%20GMT	https://cvdelucasfernandes.sitew.org/site/screenshot/?size_preset=apple_touch_icon_192x192	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/site/screenshot/index2219.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:32	352830/352830	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20May%202026%2012:19:26%20GMT	https://cvdelucasfernandes.sitew.org/Loisirs	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/Loisirs.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:35	523371/523371	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20May%202026%2012:19:28%20GMT	https://cvdelucasfernandes.sitew.org/Experience	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/Experience.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:36	352830/352830	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20May%202026%2012:19:29%20GMT	https://cvdelucasfernandes.sitew.org/Projets	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/Projets.html	(from https://cvdelucasfernandes.sitew.org/)
14:19:36	204/204	---MC-	410	error ('Gone')	text/html	date:Thu,%2021%20May%202026%2012:19:30%20GMT	https://cvdelucasfernandes.sitew.org/Formation	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/Formation	(from https://cvdelucasfernandes.sitew.org/)
14:19:37	204/204	---MC-	410	error ('Gone')	text/html	date:Thu,%2021%20May%202026%2012:19:30%20GMT	https://cvdelucasfernandes.sitew.org/Competences	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/Competences	(from https://cvdelucasfernandes.sitew.org/)
14:19:37	204/204	---MC-	410	error ('Gone')	text/html	date:Thu,%2021%20May%202026%2012:19:30%20GMT	https://cvdelucasfernandes.sitew.org/Contact	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/Contact	(from https://cvdelucasfernandes.sitew.org/)
14:19:37	17/17	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20May%202026%2012:19:30%20GMT	https://cvdelucasfernandes.sitew.org/fs/Root/g9cel-istockphoto-923729070-170667a.jpg	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/fs/Root/g9cel-istockphoto-923729070-170667a.jpg	(from https://cvdelucasfernandes.sitew.org/)
14:19:37	47129/47129	---MC-	200	added ('OK')	image/jpeg	date:Thu,%2021%20May%202026%2012:19:30%20GMT	https://v-assets.cdnsw.com/fs/Root/g9cel-istockphoto-923729070-170667a.jpg	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/v-assets.cdnsw.com/fs/Root/g9cel-istockphoto-923729070-170667a.jpg	(from https://cvdelucasfernandes.sitew.org/)
14:19:38	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:31%20GMT	https://cvdelucasfernandes.sitew.org/'https://ra0.cdnsw.com/cc0/7772469_1280.jpg'	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/'https_/ra0.cdnsw.com/cc0/7772469_1280.jpg'	(from https://cvdelucasfernandes.sitew.org/)
14:19:38	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:31%20GMT	https://cvdelucasfernandes.sitew.org/competences	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/competences	(from https://cvdelucasfernandes.sitew.org/)
14:19:38	7371/7371	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202026%2012:19:31%20GMT	https://cvdelucasfernandes.sitew.org/'https://ra0.cdnsw.com/cc0/2355701_960.jpg'	C:/Mes%20Sites%20Web/CV%20de%20Lucas%20Fernandes/cvdelucasfernandes.sitew.org/'https_/ra0.cdnsw.com/cc0/2355701_960.jpg'	(from https://cvdelucasfernandes.sitew.org/)
